Constituents list of CNX Midcap,,,,

Company Name,Industry,Symbol,Series,ISIN Code
Gillette India Ltd.,PERSONAL CARE,GILLETTE,EQ,INE322A01010
Godrej Consumer Products Ltd.,PERSONAL CARE,GODREJCP,EQ,INE102D01028
Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,PGHH,EQ,INE179A01014
Monsanto India Ltd.,PESTICIDES AND AGROCHEMICALS,MONSANTO,EQ,INE274B01011
United Phosphorous Ltd.,PESTICIDES AND AGROCHEMICALS,UNIPHOS,EQ,INE628A01036
Aurobindo Pharma Ltd.,PHARMACEUTICALS,AUROPHARMA,EQ,INE406A01029
Aventis Pharma Ltd.,PHARMACEUTICALS,AVENTIS,EQ,INE058A01010
Cadila Healthcare Ltd.,PHARMACEUTICALS,CADILAHC,EQ,INE010B01019
Divi's Laboratories Ltd.,PHARMACEUTICALS,DIVISLAB,EQ,INE361B01016
Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,GLENMARK,EQ,INE935A01027
Jubilant Organosys Ltd.,PHARMACEUTICALS,JUBILANT,EQ,INE700A01033
Lupin Ltd.,PHARMACEUTICALS,LUPIN,EQ,INE326A01029
Matrix Laboratories Ltd.,PHARMACEUTICALS,MATRIXLABS,EQ,INE604D01023
Pfizer Ltd.,PHARMACEUTICALS,PFIZER,EQ,INE182A01018
Sterling Biotech Ltd,PHARMACEUTICALS,STERLINBIO,EQ,INE324C01038
Wyeth Ltd.,PHARMACEUTICALS,WYETH,EQ,INE378A01012
Nicholas Piramal India Ltd.,PHARMACEUTICALS,NICOLASPIR,EQ,INE140A01024
Alstom Projects India Ltd.,POWER,APIL,EQ,INE878A01011
CESC Ltd.,POWER,CESC,EQ,INE486A01013
Bongaigaon Refinery & Petrochemicals Ltd.,REFINERIES,BONGAIREFN,EQ,INE241A01012
Chennai Petroleum Corporation Ltd.,REFINERIES,CHENNPETRO,EQ,INE178A01016
Essar Oil Ltd.,REFINERIES,ESSAROIL,EQ,INE011A01019
IBP Co. Ltd.,REFINERIES,IBP,EQ,INE261A01010
Marico Ltd.,SOLVENT EXTRACTION,MARICO,EQ,INE196A01018
Jindal Saw Ltd.,STEEL AND STEEL PRODUCTS,JINDALSAW,EQ,INE324A01016
Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,JINDALSTEL,EQ,INE749A01022
JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,JSWSTEEL,EQ,INE019A01020
Bajaj Hindusthan Ltd.,SUGAR,BAJAJHIND,EQ,INE306A01021
Balrampur Chini Mills Ltd.,SUGAR,BALRAMCHIN,EQ,INE119A01028
Arvind Mills Ltd.,TEXTILE PRODUCTS,ARVINDMILL,EQ,INE034A01011
Raymond Ltd.,TEXTILE PRODUCTS,RAYMOND,EQ,INE301A01014
Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES - COTTON,BOMDYEING,EQ,INE032A01015
Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,ABIRLANUVO,EQ,INE069A01017
Adani Enterprises Ltd.,TRADING,ADANIENT,EQ,INE423A01024
MRF Ltd.,TYRES,MRF,EQ,INE883A01011
