symbol,exchange,from_symbol
CDSL,NSE,CDSL
CEATLTD,NSE,CEATLTD
CELLO,NSE,CELLO
CEMPRO,NSE,ITDCEM
CENBNK,NONE,CENBNK
CENTBOP,NONE,CENTBOP
CENTENKA,NSE,CENTENKA
CENTRALBK,NSE,CENTRALBK
CENTURYPLY,NSE,CENTURYPLY
CERA,NSE,CERA
CESC,NSE,CESC
CGCL,NSE,CGCL
CGPOWER,NSE,CGPOWER
CHALET,NSE,CHALET
CHAMBLFERT,NSE,CHAMBLFERT
CHEMPLASTS,NSE,CHEMPLASTS
CHENNPETRO,NSE,CHENNPETRO
CHETTINAD,NONE,CHETTINAD
CHOICEIN,NSE,CHOICEIN
CHOLAFIN,NSE,CHOLAFIN
CHOLAHLDNG,NSE,CHOLAHLDNG
CHOWGULSTM,BSE,CHOWGULSTM
CIEINDIA,NSE,MAHINDCIE
CINEVISTA,NSE,CINEVISTA
CIPL,NONE,CIPL
CIPLA,NSE,CIPLA
CLARIANT,NONE,CLARIANT
CLEAN,NSE,CLEAN
CLEANMAX,NSE,CLEANMAX
SUDARCOLOR,NSE,COLORCHEM
CMC,NONE,CMC
CMPDI,NSE,CMPDI
COALINDIA,NSE,COALINDIA
COCHINREFN,NONE,COCHINREFN
COCHINSHIP,NSE,COCHINSHIP
COFFEEDAY,NSE,COFFEEDAY
COFORGE,NSE,COFORGE
COHANCE,NSE,COHANCE
COLGATE,NONE,COLGATE
COLPAL,NSE,COLPAL
CONCOR,NSE,CONCOR
CONCORDBIO,NSE,CONCORDBIO
CONSCOFFEE,NONE,CONSCOFFEE
CONSOFINVT,NONE,CONSOFINVT
COREEDUTEC,NONE,COREEDUTEC
COREPROTEC,NONE,COREPROTEC
COROMANDEL,NSE,COROMANDEL
CORPBANK,NONE,CORPBANK
COSMOFIRST,NSE,COSMOFILMS
COX&KINGS,NONE,COX&KINGS
CPPLUS,NSE,CPPLUS
CRAFTSMAN,NSE,CRAFTSMAN
CREATIVEYE,NSE,CREATIVEYE
CREDITACC,NSE,CREDITACC
CRESTANI,NONE,CRESTANI
CRESTCOMM,NONE,CRESTCOMM
CRISIL,NSE,CRISIL
CROMPTON,NSE,CROMPTON
CSBBANK,NSE,CSBBANK
CUB,NSE,CUB
CUMMINSIND,NSE,CUMMINSIND
CUPID,NSE,CUPID
CYBERTECH,BSE,CYBERTECH
CYIENT,NSE,CYIENT
SMARTLINK,BSE,SMARTLINK
DABUR,NSE,DABUR
DABURPHARM,NONE,DABURPHARM
DALBHARAT,NSE,DALBHARAT
DALMIASUG,NSE,DALMIASUG
DATAPATTNS,NSE,DATAPATTNS
DBCORP,NSE,DBCORP
DBL,NSE,DBL
DBREALTY,NSE,DBREALTY
DCAL,NSE,DCAL
DCBBANK,NSE,DCBBANK
DCHL,NONE,DCHL
DCMSHRIRAM,NSE,DCMSRMCONS
DCW,NSE,DCW
DEEPAKFERT,NSE,DEEPAKFERT
DEEPAKNTR,NSE,DEEPAKNTR
DELHIVERY,NSE,DELHIVERY
DELTACORP,NSE,DELTACORP
DEN,NSE,DEN
DENABANK,NONE,DENABANK
DENSO,NONE,DENSO
DEVYANI,NSE,DEVYANI
DEWANHOUS,NONE,DEWANHOUS
DHAMPURSUG,NSE,DHAMPURSUG
DHANBANK,NSE,DHANBANK
DHANI,NONE,DHANI
DHANUKA,NSE,DHANUKA
DHFL,NONE,DHFL
DICIND,NSE,DICIND
DIGJAMLMTD,NSE,DIGJAMLMTD
DISHMAN,NONE,DISHMAN
DISHTV,NSE,DISHTV
DIVISLAB,NSE,DIVISLAB
DIXON,NSE,DIXON
DLF,NSE,DLF
DMART,NSE,DMART
DOMS,NSE,DOMS
DONEAR,NSE,DONEAR
DRDATSONS,NONE,DRDATSONS
DREDGECORP,NSE,DREDGECORP
DRREDDY,NSE,DRREDDY
DSKULKARNI,BSE,DSKULKARNI
DWARKESH,NSE,DWARKESH
DYNAMATECH,NSE,DYNAMATECH
EASEMYTRIP,NSE,EASEMYTRIP
ECLERX,NSE,ECLERX
EDELWEISS,NSE,EDELWEISS
EDUCOMP,NONE,EDUCOMP
EICHERMOT,NSE,EICHERMOT
EIDPARRY,NSE,EIDPARRY
EIHOTEL,NSE,EIHOTEL
EKC,NSE,EKC
ELDERPHARM,NONE,ELDERPHARM
ELECON,NSE,ELECON
ELECTCAST,NSE,ELECTCAST
ELGIEQUIP,NSE,ELGIEQUIP
ELGIRUBCO,NSE,ELGIRUBCO
EMAMILTD,NSE,EMAMILTD
EMBASSY,BSE,EMBASSY
EMCURE,NSE,EMCURE
EMMVEE,NSE,EMMVEE
ENDURANCE,NSE,ENDURANCE
ENGINERSIN,NSE,ENGINERSIN
ENIL,NSE,ENIL
ENRIN,NSE,ENRIN
EPIGRAL,NSE,EPIGRAL
EPL,NSE,EPL
EQUITAS,NONE,EQUITAS
EQUITASBNK,NSE,EQUITASBNK
ERACONS,NONE,ERACONS
ERAINFRA,NONE,ERAINFRA
ERIS,NSE,ERIS
EROSMEDIA,NONE,EROSMEDIA
ESABINDIA,NSE,ESABINDIA
ESCORTS,NSE,ESCORTS
ESSAROIL,NONE,ESSAROIL
ESSARSHIP,NONE,ESSARSHIP
ESSDEE,NONE,ESSDEE
ESTL,NONE,ESTL
ETERNAL,NSE,ETERNAL
EVEREADY,NSE,EVEREADY
EVERESTIND,BSE,EVERESTIND
EXCELCROP,NONE,EXCELCROP
EXIDEIND,NSE,EXIDEIND
FACT,NSE,FACT
FCH,NONE,FCH
FCONSUMER,NONE,FCONSUMER
FDC,NSE,FDC
FEDERALBNK,NSE,FEDERALBNK
FGP,BSE,FGP
FINCABLES,NSE,FINCABLES
FINEORG,NSE,FINEORG
FINPIPE,NSE,FINPIPE
FIRSTCRY,NSE,FIRSTCRY
FIRSTLEASE,NONE,FIRSTLEASE
FIVESTAR,NSE,FIVESTAR
FKONCO,NONE,FKONCO
FLEXCHEM,NONE,FLEXCHEM
FLEXITUFF,BSE,FLEXITUFF
FLFL,BSE,FLFL
FLUOROCHEM,NSE,FLUOROCHEM
FMGOETZE,NSE,GOETZEIND
FORCEMOT,NSE,FORCEMOT
FORTIS,NSE,FORTIS
FOSECOIND,NSE,FOSECOIND
FRACTAL,NSE,FRACTAL
FRETAIL,NONE,FRETAIL
FEL,BSE,PANTALOONR
FSL,NSE,FSL
FSS,NONE,FSS
FUTUREVENT,NONE,FUTUREVENT
GABRIEL,NSE,GABRIEL
GAEL,NSE,GAEL
GAIL,NSE,GAIL
GALAXYSURF,NSE,GALAXYSURF
GALLANTT,NSE,GALLANTT
GAMMNINFRA,NONE,GAMMNINFRA
GAMMONIND,NONE,GAMMONIND
GANESHBE,BSE,GANESHBE
GARDENSILK,NONE,GARDENSILK
GARFIBRES,NSE,GARFIBRES
GATEWAY,NSE,GATEWAY
GATI,NONE,GATI
GAYAPROJ,NSE,GAYAPROJ
GEODESIC,NONE,GEODESIC
GEOINFO,NONE,GEOINFO
GEOJITFSL,NSE,GEOJITBNPP
GEOMETRIC,NONE,GEOMETRIC
GEORGWILIM,NONE,GEORGWILIM
GVPIL,NSE,GEPIL
GESHIP,NSE,GESHIP
GVT&D,NSE,GVT&D
GHCL,NSE,GHCL
GICRE,NSE,GICRE
GILLETTE,NSE,GILLETTE
GIPCL,NSE,GIPCL
GITANJALI,NONE,GITANJALI
GLAND,NSE,GLAND
GLAXO,NSE,GLAXO
GLENMARK,NSE,GLENMARK
GLFL,NSE,GLFL
GLOBOFFS,NONE,GLOBOFFS
GMDCLTD,NSE,GMDCLTD
GMMPFAUDLR,NSE,GMMPFAUDLR
GMRAIRPORT,NSE,GMRAIRPORT
GNFC,NSE,GNFC
GOCOLORS,NSE,GOCOLORS
GODAVRFERT,NONE,GODAVRFERT
GODFRYPHLP,NSE,GODFRYPHLP
GODIGIT,NSE,GODIGIT
GODREJAGRO,NSE,GODREJAGRO
GODREJCP,NSE,GODREJCP
GODREJIND,NSE,GODREJIND
GODREJPROP,NSE,GODREJPROP
GOKEX,NSE,GOKEX
GOLDENTOBC,BSE,GOLDENTOBC
GOODRICKE,BSE,GOODRICKE
GOODYEAR,NSE,GOODYEAR
GPIL,NSE,GPIL
GPPL,NSE,GPPL
GRANULES,NSE,GRANULES
GRAPHITE,NSE,GRAPHITE
GRASIM,NSE,GRASIM
GRAVITA,NSE,GRAVITA
GREAVESCOT,NSE,GREAVESCOT
GREENPANEL,NSE,GREENPANEL
GREENPLY,NSE,GREENPLY
GRINDWELL,NSE,GRINDWELL
GRINFRA,NSE,GRINFRA
GROWW,NSE,GROWW
GRSE,NSE,GRSE
GRUH,NONE,GRUH
GSFC,NSE,GSFC
GSKCONS,NONE,GSKCONS
GSPL,NONE,GSPL
GTL,NSE,GTL
GTLINFRA,NSE,GTLINFRA
GTNINDS,BSE,GTNINDS
GTOFFSHORE,NONE,GTOFFSHORE
GUJALKALI,NSE,GUJALKALI
GUJENERGY,NSE,GUJGASLTD
GUJNRECOKE,NONE,GUJNRECOKE
GUJRATGAS,NONE,GUJRATGAS
GULFOILLUB,NSE,GULFOILLUB
GVKPIL,BSE,GVKPIL
HAL,NSE,HAL
HAPPSTMNDS,NSE,HAPPSTMNDS
HAPPYFORGE,NSE,HAPPYFORGE
HARRMALAYA,NSE,HARRMALAYA
HATHWAY,NSE,HATHWAY
HATSUN,NSE,HATSUN
HAVELLS,NSE,HAVELLS
HBLENGINE,NSE,HBLENGINE
HCC,NSE,HCC
HCL-INSYS,NSE,HCL-INSYS
HCLTECH,NSE,HCLTECH
HDBFS,NSE,HDBFS
HDFC,NONE,HDFC
HDFCAMC,NSE,HDFCAMC
HDFCBANK,NSE,HDFCBANK
HDFCLIFE,NSE,HDFCLIFE
HDIL,BSE,HDIL
HEG,BSE,HEG
HEIDELBERG,NSE,HEIDELBERG
HEMIPROP,NSE,HEMIPROP
HERITGFOOD,NSE,HERITGFOOD
HEROMOTOCO,NSE,HEROMOTOCO
HEXAWARE,NONE,HEXAWARE
HEXT,NSE,HEXT
HFCL,BSE,HFCL
HGS,NSE,HGS
HIKAL,NSE,HIKAL
HIMACHLFUT,NONE,HIMACHLFUT
HIMATSEIDE,NSE,HIMATSEIDE
HINDALCO,NSE,HINDALCO
HINDCOPPER,NSE,HINDCOPPER
HINDMOTORS,BSE,HINDMOTORS
HINDOILEXP,NSE,HINDOILEXP
HINDPETRO,NSE,HINDPETRO
AGI,NSE,HINDSANIT
HINDUNILVR,NSE,HINDUNILVR
HINDZINC,NSE,HINDZINC
HINVDIR,NONE,HINVDIR
BOSCH-HCIL,NSE,JCHAC
HLEGLAS,NSE,HLEGLAS
HMT,BSE,HMT
HMVL,BSE,HMVL
HOCL,BSE,HOCL
HOMEFIRST,NSE,HOMEFIRST
HONASA,NSE,HONASA
HONAUT,NSE,HONAUT
HONDAPOWER,NSE,SHRMHONDA
PGIL,NSE,HOPFL
HLVLTD,NSE,HOTELEELA
HSCL,NSE,HSCL
HSIL,BSE,HSIL
HTMEDIA,NSE,HTMEDIA
HTMT,NONE,HTMT
HUBTOWN,NSE,HUBTOWN
HUDCO,NSE,HUDCO
HUGHESSOFT,NONE,HUGHESSOFT
HUHTAMAKI,NSE,PAPERPROD
HYUNDAI,NSE,HYUNDAI
IBP,NONE,IBP
EMBDL,NSE,IBREALEST
IBSEC,NONE,IBSEC
IBULLSLTD,NSE,IBULISL
IBVENTURES,NONE,IBVENTURES
ICICIAMC,NSE,ICICIAMC
ICICIBANK,NSE,ICICIBANK
ICICIGI,NSE,ICICIGI
ICICIPRULI,NSE,ICICIPRULI
ICIL,NSE,ICIL
ICRA,NSE,ICRA
ICSA,NONE,ICSA
IDBI,NSE,IDBI
IDEA,NSE,IDEA
IDFC,NONE,IDFC
IDFCFIRSTB,NSE,IDFCFIRSTB
IEX,NSE,IEX
IFBIND,NSE,IFBIND
IFCI,NSE,IFCI
IGARASHI,NSE,IGARASHI
IGFLFERT,NONE,IGFLFERT
IGIL,NSE,IGIL
IGL,NSE,IGL
IGPL,NSE,IGPL
IGS,NONE,IGS
IIFL,NSE,INDIAINFO
IKS,NSE,IKS
IL&FSENGG,BSE,MAYTASINFR
IL&FSTRANS,BSE,IL&FSTRANS
IMFA,NSE,IMFA
INDGN,NSE,INDGN
INDGYPSUM,NONE,INDGYPSUM
INDHOTEL,NSE,INDHOTEL
INDIABULLS,NONE,INDIABULLS
INDIACEM,NSE,INDIACEM
INDIAGLYCO,BSE,INDIAGLYCO
INDIAMART,NSE,INDIAMART
INDIANB,NSE,INDIANB
INDIANCARD,NSE,INDIANCARD
INDIGO,NSE,INDIGO
INDIGOPNTS,NSE,INDIGOPNTS
INDNIPPON,NSE,INDNIPPON
INDOCO,NSE,INDOCO
INDORAMA,NSE,INDORAMA
INDOSTAR,NSE,INDOSTAR
INDRAMEDCO,NSE,INDRAMEDCO
INDRAYON,NONE,INDRAYON
INDSWFTLAB,NSE,INDSWFTLAB
INDUSINDBK,NSE,INDUSINDBK
INDUSTOWER,NSE,INDUSTOWER
STYRENIX,NSE,STYABS
CCAVENUE,NSE,INFIBEAM
INFINITE,NONE,INFINITE
INFOMEDIA,NSE,INFOMEDIA
INFY,NSE,INFY
INGERRAND,NSE,INGERRAND
INGVYSYABK,NONE,INGVYSYABK
INNOIND,NONE,INNOIND
INOXINDIA,NSE,INOXINDIA
INOXLEISUR,NONE,INOXLEISUR
INOXWIND,NSE,INOXWIND
INTELLECT,NSE,INTELLECT
INVSTSMART,NONE,INVSTSMART
IOB,NSE,IOB
IOC,NSE,IOC
IOLCP,NSE,IOLCP
IONEXCHANG,NSE,IONEXCHANG
ANDHRAPAP,NSE,IPAPPM
IPCALAB,NSE,IPCALAB
IPCL,NONE,IPCL
IPRINGLTD,NSE,IPRINGLTD
IRB,NSE,IRB
IRCON,NSE,IRCON
IRCTC,NSE,IRCTC
IREDA,NSE,IREDA
IRFC,NSE,IRFC
ISEC,NONE,ISEC
ISPATIND,NONE,ISPATIND
ISPATIND|JSWISPAT,NONE,ISPATIND|JSWISPAT
ITC,NSE,ITC
ITCHOTELS,NSE,ITCHOTELS
ITDC,NSE,ITDC
ITHL,BSE,ITHL
ITI,NSE,ITI
IVRCLINFRA,NONE,IVRCLINFRA
J&KBANK,NSE,J&KBANK
JAGRAN,NSE,JAGRAN
JAGSNPHARM,NSE,JAGSNPHARM
JAIBALAJI,NSE,JAIBALAJI
JAICORPLTD,NSE,JAICORPLTD
JAINREC,NSE,JAINREC
JAINSTUDIO,NONE,JAINSTUDIO
JAMNAAUTO,NSE,JAMNAAUTO
JAYSREETEA,NSE,JAYSREETEA
JBCHEPHARM,NONE,JBCHEPHARM
JBFIND,NONE,JBFIND
JBMA,NSE,JBMA
JETAIRWAYS,NONE,JETAIRWAYS
JINDALIRON,NONE,JINDALIRON
JINDALPHOT,NSE,JINDALPHOT
JINDALPOLY,NSE,JINDALPOLY
JINDALSAW,NSE,JINDALSAW
JINDALSTEL,NSE,JINDALSTEL
JINDWORLD,NSE,JINDWORLD
JIOFIN,NSE,JIOFIN
JISLJALEQS,NSE,JISLJALEQS
JKCEMENT,NSE,JKCEMENT
JKIL,NSE,JKIL
JKLAKSHMI,NSE,JKLAKSHMI
JKPAPER,NSE,JKPAPER
JKTYRE,NSE,JKTYRE
JMFINANCIL,NSE,JMFINANCIL
JMTAUTOLTD,NONE,JMTAUTOLTD
JPASSOCIAT,NONE,JPASSOCIAT
JPINFRATEC,NONE,JPINFRATEC
JPPOWER,NSE,JPPOWER
JSL,NSE,JSL
JSLHISAR,NONE,JSLHISAR
JSWCEMENT,NSE,JSWCEMENT
JSWDULUX,NSE,JSWDULUX
JSWENERGY,NSE,JSWENERGY
JSWHL,NSE,JSWHL
JSWINFRA,NSE,JSWINFRA
JSWISPAT,NONE,JSWISPAT
JSWSTEEL,NSE,JSWSTEEL
JTEKTINDIA,NSE,SONASTEER
JUBLPHARMA,NSE,JUBLPHARMA
JUBLFOOD,NSE,JUBLFOOD
JUBLINGREA,NSE,JUBLINGREA
JUSTDIAL,NSE,JUSTDIAL
JWL,NSE,JWL
JYOTHYLAB,NSE,JYOTHYLAB
JYOTICNC,NSE,JYOTICNC
JYOTISTRUC,NSE,JYOTISTRUC
KAJARIACER,NSE,KAJARIACER
KAKATCEM,NSE,KAKATCEM
ACCELYA,NSE,KALECONSUL
KALYANBRAK,NONE,KALYANBRAK
KALYANKJIL,NSE,KALYANKJIL
KANSAINER,NSE,KANSAINER
KARURVYSYA,NSE,KARURVYSYA
KAYNES,NSE,KAYNES
KCP,NSE,KCP
KEC,NSE,KEC
KEI,NSE,KEI
KEMROCK,NONE,KEMROCK
KENNAMET,NSE,KENNAMET
KESORAMIND,BSE,KESORAMIND
KFINTECH,NSE,KFINTECH
KGL,NONE,KGL
KIMS,NSE,KIMS
KINETICENG,BSE,KINETICENG
KINETICMOT,NONE,KINETICMOT
KIOCL,NSE,KIOCL
KIRLFER,NSE,KIRLFER
KIRLOSBROS,NSE,KIRLOSBROS
KIRLOSENG,NSE,KIRLOSENG
KIRLOSIND,NSE,KIRLOSIND
KITEX,NSE,KITEX
KITPLYIND,NONE,KITPLYIND
KKCL,NSE,KKCL
KNRCON,NSE,KNRCON
KOHINOOR,NSE,KOHINOOR
KOLTEPATIL,NSE,KOLTEPATIL
KOPDRUGS,NONE,KOPDRUGS
KOPRAN,NSE,KOPRAN
KOTAKBANK,NSE,KOTAKBANK
KOTHARIPRO,NSE,KOTHARIPRO
KOUTONS,NONE,KOUTONS
KPIL,NSE,KPIL
KPITTECH,NSE,KPITTECH
KPRMILL,NSE,KPRMILL
KRBL,NSE,KRBL
KSB,NSE,KSBPUMPS
KSCL,NSE,KSCL
KSK,NONE,KSK
KSL,NSE,KSL
KSOILS,NONE,KSOILS
KTKBANK,NSE,KTKBANK
KWALITY,NONE,KWALITY
LAKSHMIEFL,NONE,LAKSHMIEFL
LAKSHVILAS,NONE,LAKSHVILAS
LALPATHLAB,NSE,LALPATHLAB
LAOPALA,NSE,LAOPALA
LATENTVIEW,NSE,LATENTVIEW
LAURUSLABS,NSE,LAURUSLABS
LMW,NSE,LAXMIMACH
LEMONTREE,NSE,LEMONTREE
LENSKART,NSE,LENSKART
LGBBROSLTD,NSE,LGBBROSLTD
LGEINDIA,NSE,LGEINDIA
LICHSGFIN,NSE,LICHSGFIN
LICI,NSE,LICI
LINDEINDIA,NSE,LINDEINDIA
LITL,NONE,LITL
LLOYDSME,NSE,LLOYDSME
LML,NONE,LML
LODHA,NSE,LODHA
LOVABLE,NSE,LOVABLE
LT,NSE,LT
LTF,NSE,LTF
LTFOODS,NSE,LTFOODS
LTM,NSE,LTM
LTTS,NSE,LTTS
LUMAXIND,NSE,LUMAXIND
LUPIN,NSE,LUPIN
LUXIND,NSE,LUXIND
LXCHEM,NSE,LXCHEM
M&M,NSE,M&M
M&MFIN,NSE,M&MFIN
MAARSOFTW,NONE,MAARSOFTW
MADRASFERT,NSE,MADRASFERT
MAFATIND,NSE,MAFATIND
POONAWALLA,NSE,POONAWALLA
MAHABANK,NSE,MAHABANK
MAHINDUGIN,NONE,MAHINDUGIN
MAHLIFE,NSE,MAHLIFE
MAHLOG,NSE,MAHLOG
MAHSCOOTER,NSE,MAHSCOOTER
MAHSEAMLES,NSE,MAHSEAMLES
MANALIPETC,NSE,MANALIPETC
MANAPPURAM,NSE,MANAPPURAM
MANDHANA,NONE,MANDHANA
MANGCHEFER,NONE,MANGCHEFER
MANGLMCEM,NSE,MANGLMCEM
MANINDS,NSE,MANINDS
MANINFRA,NSE,MANINFRA
MANKIND,NSE,MANKIND
